Fecha,Casos_Diagnostico,Casos_Recuperado,Casos_Muerte,Casos_Activos,Tasa_Contagio,Tasa_Recuperacion,Tasa_Muerte
2020-06-25,9962,2960.0,837.0,6165.0,0.042462840392089335,0.04562982005141388,0.005944730077120822
2020-06-26,10851,3313.0,871.0,6667.0,0.14549514378083797,0.057258718572587186,0.00551500405515004
2020-06-27,11430,3554.0,899.0,6977.0,0.08769520518864307,0.036148192590370484,0.004199790010499475
2020-06-28,11949,3759.0,926.0,7264.0,0.075154177157504,0.029382255983947256,0.003869858105202809
2020-06-29,12302,4052.0,955.0,7295.0,0.04911981380229925,0.04033590308370044,0.003992290748898678
2020-06-30,12695,4385.0,979.0,7331.0,0.05447076337825349,0.04564770390678547,0.0032899246058944484
2020-07-01,13069,4675.0,1007.0,7387.0,0.051601067539737935,0.03955804119492566,0.0038193970808893737
2020-07-02,13684,4881.0,1051.0,7752.0,0.08423721843296487,0.027886828211723298,0.0059564099093001215
2020-07-03,14036,5085.0,1085.0,7866.0,0.04596923058457865,0.02631578947368421,0.0043859649122807015
2020-07-04,14400,5272.0,1110.0,8018.0,0.04686233959003919,0.023773201118738877,0.003178235443681668
2020-07-05,14929,5449.0,1137.0,8343.0,0.06683579105056967,0.02207533050636069,0.003367423297580444
2020-07-06,15301,5818.0,1172.0,8311.0,0.04519058854292382,0.04422869471413161,0.004195133644971833
2020-07-07,15820,6214.0,1197.0,8409.0,0.06331222614596006,0.047647695824810495,0.0030080616051016726
2020-07-08,16200,6573.0,1221.0,8406.0,0.0458370667575259,0.0426923534308479,0.0028540849090260435
2020-07-09,16878,7075.0,1248.0,8555.0,0.08184032682070645,0.05971924815607899,0.0032119914346895075
2020-07-10,17637,7659.0,1273.0,8705.0,0.09007735550939538,0.06826417299824664,0.0029222676797194622
2020-07-11,18024,8072.0,1293.0,8659.0,0.04516842479808044,0.04744399770246985,0.0022975301550832855
2020-07-12,18674,8464.0,1309.0,8901.0,0.07629408175270594,0.04527081649151172,0.0018477884282249682
2020-07-13,19080,8945.0,1332.0,8803.0,0.04638618822539527,0.05403887203684979,0.002583979328165375
2020-07-14,19667,9471.0,1354.0,8842.0,0.06783736471193137,0.05975235715097126,0.0024991480177212312
2020-07-15,20084,10129.0,1374.0,8581.0,0.048004142383936785,0.07441755258991178,0.002261931689662972
2020-07-16,21054,10731.0,1391.0,8932.0,0.11510431540162952,0.07015499359049061,0.0019811210814590376
2020-07-17,23091,11523.0,1408.0,10160.0,0.23242520333859112,0.08866995073891626,0.001903269144648455
2020-07-18,24588,12600.0,1434.0,10554.0,0.15044393163135103,0.10600393700787401,0.002559055118110236
2020-07-19,24945,13813.0,1451.0,9681.0,0.03458523717679986,0.1149327269281789,0.0016107636914913777
2020-07-20,25461,14414.0,1460.0,9587.0,0.05451432788068163,0.06208036359880178,0.0009296560272699101
2020-07-21,25923,14742.0,1472.0,9709.0,0.049311146615933325,0.034212996766454576,0.001251695003650777
2020-07-22,26154,15160.0,1484.0,9510.0,0.02435603934630448,0.043052837573385516,0.0012359666289010196
2020-07-23,26452,16070.0,1500.0,8882.0,0.03208460019492044,0.09568874868559411,0.0016824395373291271
2020-07-24,26655,16389.0,1508.0,8758.0,0.023408008964120184,0.035915334384147714,0.0009006980409817609
2020-07-25,26954,17612.0,1520.0,7822.0,0.0349724512389225,0.1396437542817995,0.0013701758392327015
2020-07-26,27385,18164.0,1529.0,7692.0,0.056459633821757886,0.07057018665302991,0.001150600869342879
2020-07-27,27759,19218.0,1540.0,7001.0,0.049840476978921314,0.13702548101924078,0.0014300572022880914
2020-07-28,28504,19804.0,1550.0,7150.0,0.10911758057712354,0.08370232823882302,0.0014283673760891302
2020-07-29,28801,20453.0,1560.0,6788.0,0.04262312019763245,0.09076923076923077,0.0013986013986013986
2020-07-30,29284,21374.0,1570.0,6340.0,0.07303285970637656,0.13568061284619917,0.0014731879787860931
2020-07-31,29511,21819.0,1575.0,6117.0,0.0367656176021222,0.07018927444794952,0.0007886435331230284
2020-08-01,29933,22376.0,1583.0,5974.0,0.07085485657487259,0.09105770802681053,0.0013078306359326467
2020-08-02,30325,22824.0,1588.0,5913.0,0.0674193533220643,0.07499163039839303,0.0008369601606963508
2020-08-03,30751,23344.0,1591.0,5816.0,0.07404941710352714,0.08794182310164045,0.0005073566717402334
2020-08-04,31247,23958.0,1599.0,5690.0,0.08768938091262372,0.10557083906464924,0.001375515818431912
2020-08-05,31501,24221.0,1604.0,5676.0,0.04592074888924553,0.04622144112478031,0.0008787346221441124
2020-08-06,31677,24644.0,1610.0,5423.0,0.031905026785723566,0.07452431289640592,0.0010570824524312897
2020-08-07,32064,25054.0,1617.0,5393.0,0.07343961872290028,0.07560390927530887,0.0012907984510418587
2020-08-08,32416,25447.0,1624.0,5345.0,0.06719326445812558,0.07287224179491934,0.001297978861487113
2020-08-09,32773,25922.0,1628.0,5223.0,0.0687819571243293,0.08886810102899906,0.0007483629560336763
2020-08-10,33095,26364.0,1630.0,5101.0,0.06350858486800692,0.08462569404556768,0.0003829216925138809
2020-08-11,33372,26689.0,1636.0,5047.0,0.0559563870590082,0.0637129974514801,0.001176239952950402
2020-08-12,33499,26924.0,1639.0,4936.0,0.025936198464569574,0.04656231424608678,0.0005944125222904696
2020-08-13,33701,27255.0,1643.0,4803.0,0.04218546877113461,0.06705834683954619,0.0008103727714748784
2020-08-14,33853,27985.0,1648.0,4220.0,0.032628597402169286,0.15198834062044556,0.0010410160316468874
2020-08-15,34065,28425.0,1649.0,3991.0,0.051802602762885924,0.10426540284360189,0.00023696682464454977
2020-08-16,34236,28750.0,1651.0,3835.0,0.044190337832347694,0.08143322475570032,0.0005011275369581559
2020-08-17,34331,29163.0,1654.0,3514.0,0.02555286276334737,0.1076923076923077,0.0007822685788787483
2020-08-18,34540,29411.0,1655.0,3474.0,0.06135696249663189,0.07057484348321001,0.0002845759817871372
2020-08-19,34887,29669.0,1657.0,3561.0,0.10306295458389289,0.07426597582037997,0.0005757052389176742
2020-08-20,35050,30279.0,1662.0,3109.0,0.04724516857616893,0.17130019657399606,0.0014040999719180005
2020-08-21,35150,30546.0,1664.0,2940.0,0.033203685093338764,0.08587970408491476,0.000643293663557414
2020-08-22,35190,30735.0,0.0,4455.0,0.014046227439012985,0.06428571428571428,-0.5659863945578232
2020-08-23,35356,30948.0,1666.0,2742.0,0.03847010989310264,0.04781144781144781,0.3739618406285073
2020-08-24,35510,31206.0,1669.0,2635.0,0.057993961123158154,0.09409190371991247,0.0010940919037199124
2020-08-25,35637,31496.0,1670.0,2471.0,0.0497753433724055,0.11005692599620494,0.0003795066413662239
2020-08-26,35723,31701.0,1671.0,2351.0,0.035947419979197,0.0829623634156212,0.0004046944556859571
2020-08-27,35850,31948.0,0.0,3902.0,0.055799146142890776,0.10506167588260315,-0.7107613781369629
2020-08-28,35921,32330.0,1672.0,1919.0,0.018797427203354956,0.09789851358277807,0.4284982060481804
2020-08-29,35985,32473.0,0.0,3512.0,0.03445567536892293,0.07451797811360084,-0.8712871287128713
